Id,Title,Acceptance,Difficulty,Frequency,Link
572,Subtree of Another Tree,44.2%,Easy,29.9924,https://leetcode.com/problems/subtree-of-another-tree
573,Squirrel Simulation,55.8%,Medium,10.5378,https://leetcode.com/problems/squirrel-simulation
574,Winning Candidate,48.3%,Medium,2.98579,https://leetcode.com/problems/winning-candidate
575,Distribute Candies,61.4%,Easy,0.0,https://leetcode.com/problems/distribute-candies
576,Out of Boundary Paths,35.2%,Medium,1.29643,https://leetcode.com/problems/out-of-boundary-paths
577,Employee Bonus,68.6%,Easy,0.0,https://leetcode.com/problems/employee-bonus
578,Get Highest Answer Rate Question,39.7%,Medium,0.0,https://leetcode.com/problems/get-highest-answer-rate-question
579,Find Cumulative Salary of an Employee,37.2%,Hard,0.0,https://leetcode.com/problems/find-cumulative-salary-of-an-employee
580,Count Student Number in Departments,49.1%,Medium,0.0,https://leetcode.com/problems/count-student-number-in-departments
581,Shortest Unsorted Continuous Subarray,31.2%,Easy,29.5678,https://leetcode.com/problems/shortest-unsorted-continuous-subarray
582,Kill Process,61.1%,Medium,14.971,https://leetcode.com/problems/kill-process
583,Delete Operation for Two Strings,48.9%,Medium,6.11538,https://leetcode.com/problems/delete-operation-for-two-strings
584,Find Customer Referee,72.6%,Easy,1.18267,https://leetcode.com/problems/find-customer-referee
585,Investments in 2016,55.3%,Medium,1.96834,https://leetcode.com/problems/investments-in-2016
586,Customer Placing the Largest Number of Orders,73.5%,Easy,3.76289,https://leetcode.com/problems/customer-placing-the-largest-number-of-orders
587,Erect the Fence,35.9%,Hard,10.4928,https://leetcode.com/problems/erect-the-fence
588,Design In-Memory File System,46.2%,Hard,65.3421,https://leetcode.com/problems/design-in-memory-file-system
589,N-ary Tree Preorder Traversal,72.3%,Easy,2.02897,https://leetcode.com/problems/n-ary-tree-preorder-traversal
590,N-ary Tree Postorder Traversal,72.4%,Easy,4.06991,https://leetcode.com/problems/n-ary-tree-postorder-traversal
591,Tag Validator,34.4%,Hard,32.7284,https://leetcode.com/problems/tag-validator
592,Fraction Addition and Subtraction,49.2%,Medium,34.2848,https://leetcode.com/problems/fraction-addition-and-subtraction
593,Valid Square,43.2%,Medium,43.7297,https://leetcode.com/problems/valid-square
594,Longest Harmonious Subsequence,46.8%,Easy,12.5447,https://leetcode.com/problems/longest-harmonious-subsequence
595,Big Countries,77.5%,Easy,1.15609,https://leetcode.com/problems/big-countries
596,Classes More Than 5 Students,38.2%,Easy,0.414866,https://leetcode.com/problems/classes-more-than-5-students
597,Friend Requests I: Overall Acceptance Rate,41.1%,Easy,2.43908,https://leetcode.com/problems/friend-requests-i-overall-acceptance-rate
598,Range Addition II,49.6%,Easy,10.2069,https://leetcode.com/problems/range-addition-ii
599,Minimum Index Sum of Two Lists,50.8%,Easy,4.83173,https://leetcode.com/problems/minimum-index-sum-of-two-lists
600,Non-negative Integers without Consecutive Ones,34.1%,Hard,3.10171,https://leetcode.com/problems/non-negative-integers-without-consecutive-ones
601,Human Traffic of Stadium,42.0%,Hard,8.34957,https://leetcode.com/problems/human-traffic-of-stadium
602,Friend Requests II: Who Has the Most Friends,54.1%,Medium,3.02914,https://leetcode.com/problems/friend-requests-ii-who-has-the-most-friends
603,Consecutive Available Seats,64.3%,Easy,2.71395,https://leetcode.com/problems/consecutive-available-seats
604,Design Compressed String Iterator,37.5%,Easy,3.95481,https://leetcode.com/problems/design-compressed-string-iterator
605,Can Place Flowers,31.5%,Easy,22.9205,https://leetcode.com/problems/can-place-flowers
606,Construct String from Binary Tree,54.2%,Easy,6.13547,https://leetcode.com/problems/construct-string-from-binary-tree
607,Sales Person,63.2%,Easy,0.0,https://leetcode.com/problems/sales-person
608,Tree Node,67.5%,Medium,1.9409,https://leetcode.com/problems/tree-node
609,Find Duplicate File in System,59.8%,Medium,59.6566,https://leetcode.com/problems/find-duplicate-file-in-system
610,Triangle Judgement,66.3%,Easy,6.65225,https://leetcode.com/problems/triangle-judgement
611,Valid Triangle Number,48.5%,Medium,29.1611,https://leetcode.com/problems/valid-triangle-number
612,Shortest Distance in a Plane,59.7%,Medium,0.0,https://leetcode.com/problems/shortest-distance-in-a-plane
613,Shortest Distance in a Line,77.9%,Easy,0.0,https://leetcode.com/problems/shortest-distance-in-a-line
614,Second Degree Follower,30.6%,Medium,1.51778,https://leetcode.com/problems/second-degree-follower
615,Average Salary: Departments VS Company,47.8%,Hard,12.4937,https://leetcode.com/problems/average-salary-departments-vs-company
616,Add Bold Tag in String,43.3%,Medium,30.9327,https://leetcode.com/problems/add-bold-tag-in-string
617,Merge Two Binary Trees,74.3%,Easy,23.2865,https://leetcode.com/problems/merge-two-binary-trees
618,Students Report By Geography,55.7%,Hard,0.0,https://leetcode.com/problems/students-report-by-geography
619,Biggest Single Number,43.4%,Easy,1.34224,https://leetcode.com/problems/biggest-single-number
620,Not Boring Movies,67.9%,Easy,1.63831,https://leetcode.com/problems/not-boring-movies
621,Task Scheduler,50.4%,Medium,58.9942,https://leetcode.com/problems/task-scheduler
622,Design Circular Queue,44.1%,Medium,33.0651,https://leetcode.com/problems/design-circular-queue
623,Add One Row to Tree,49.8%,Medium,0.0,https://leetcode.com/problems/add-one-row-to-tree
624,Maximum Distance in Arrays,39.0%,Easy,0.0,https://leetcode.com/problems/maximum-distance-in-arrays
625,Minimum Factorization,32.8%,Medium,0.0,https://leetcode.com/problems/minimum-factorization
626,Exchange Seats,62.8%,Medium,12.5418,https://leetcode.com/problems/exchange-seats
627,Swap Salary,75.6%,Easy,6.98771,https://leetcode.com/problems/swap-salary
628,Maximum Product of Three Numbers,47.1%,Easy,31.8657,https://leetcode.com/problems/maximum-product-of-three-numbers
629,K Inverse Pairs Array,31.2%,Hard,4.58623,https://leetcode.com/problems/k-inverse-pairs-array
630,Course Schedule III,33.5%,Hard,24.6544,https://leetcode.com/problems/course-schedule-iii
631,Design Excel Sum Formula,31.7%,Hard,0.0,https://leetcode.com/problems/design-excel-sum-formula
632,Smallest Range Covering Elements from K Lists,52.7%,Hard,22.2587,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists
633,Sum of Square Numbers,32.1%,Easy,10.7376,https://leetcode.com/problems/sum-of-square-numbers
634,Find the Derangement of An Array,40.3%,Medium,10.4039,https://leetcode.com/problems/find-the-derangement-of-an-array
635,Design Log Storage System,58.7%,Medium,31.0692,https://leetcode.com/problems/design-log-storage-system
636,Exclusive Time of Functions,52.1%,Medium,56.6295,https://leetcode.com/problems/exclusive-time-of-functions
637,Average of Levels in Binary Tree,63.3%,Easy,9.49722,https://leetcode.com/problems/average-of-levels-in-binary-tree
638,Shopping Offers,51.7%,Medium,5.06714,https://leetcode.com/problems/shopping-offers
639,Decode Ways II,26.7%,Hard,21.744,https://leetcode.com/problems/decode-ways-ii
640,Solve the Equation,42.2%,Medium,26.4757,https://leetcode.com/problems/solve-the-equation
641,Design Circular Deque,53.5%,Medium,3.35087,https://leetcode.com/problems/design-circular-deque
642,Design Search Autocomplete System,45.0%,Hard,44.9712,https://leetcode.com/problems/design-search-autocomplete-system
643,Maximum Average Subarray I,41.6%,Easy,5.1865,https://leetcode.com/problems/maximum-average-subarray-i
644,Maximum Average Subarray II,32.1%,Hard,0.0,https://leetcode.com/problems/maximum-average-subarray-ii
645,Set Mismatch,42.2%,Easy,0.752491,https://leetcode.com/problems/set-mismatch
646,Maximum Length of Pair Chain,52.1%,Medium,24.8991,https://leetcode.com/problems/maximum-length-of-pair-chain
647,Palindromic Substrings,60.9%,Medium,48.8233,https://leetcode.com/problems/palindromic-substrings
648,Replace Words,56.9%,Medium,0.828579,https://leetcode.com/problems/replace-words
649,Dota2 Senate,39.1%,Medium,7.45386,https://leetcode.com/problems/dota2-senate
650,2 Keys Keyboard,49.3%,Medium,13.2784,https://leetcode.com/problems/2-keys-keyboard
651,4 Keys Keyboard,52.6%,Medium,4.94009,https://leetcode.com/problems/4-keys-keyboard
652,Find Duplicate Subtrees,50.4%,Medium,19.6119,https://leetcode.com/problems/find-duplicate-subtrees
653,Two Sum IV - Input is a BST,55.6%,Easy,23.9252,https://leetcode.com/problems/two-sum-iv-input-is-a-bst
654,Maximum Binary Tree,80.1%,Medium,9.03873,https://leetcode.com/problems/maximum-binary-tree
655,Print Binary Tree,55.1%,Medium,2.44702,https://leetcode.com/problems/print-binary-tree
656,Coin Path,29.1%,Hard,0.0,https://leetcode.com/problems/coin-path
657,Robot Return to Origin,73.7%,Easy,8.93549,https://leetcode.com/problems/robot-return-to-origin
658,Find K Closest Elements,41.0%,Medium,36.4257,https://leetcode.com/problems/find-k-closest-elements
659,Split Array into Consecutive Subsequences,43.8%,Medium,34.3978,https://leetcode.com/problems/split-array-into-consecutive-subsequences
660,Remove 9,53.5%,Hard,0.0,https://leetcode.com/problems/remove-9
661,Image Smoother,51.6%,Easy,1.97766,https://leetcode.com/problems/image-smoother
662,Maximum Width of Binary Tree,40.7%,Medium,27.4597,https://leetcode.com/problems/maximum-width-of-binary-tree
663,Equal Tree Partition,39.6%,Medium,0.0,https://leetcode.com/problems/equal-tree-partition
664,Strange Printer,40.4%,Hard,7.51405,https://leetcode.com/problems/strange-printer
665,Non-decreasing Array,19.5%,Easy,23.8104,https://leetcode.com/problems/non-decreasing-array
666,Path Sum IV,54.8%,Medium,0.0,https://leetcode.com/problems/path-sum-iv
667,Beautiful Arrangement II,54.3%,Medium,2.99055,https://leetcode.com/problems/beautiful-arrangement-ii
668,Kth Smallest Number in Multiplication Table,46.1%,Hard,0.0,https://leetcode.com/problems/kth-smallest-number-in-multiplication-table
669,Trim a Binary Search Tree,63.0%,Easy,22.2587,https://leetcode.com/problems/trim-a-binary-search-tree
670,Maximum Swap,43.9%,Medium,38.0815,https://leetcode.com/problems/maximum-swap
671,Second Minimum Node In a Binary Tree,42.7%,Easy,3.51704,https://leetcode.com/problems/second-minimum-node-in-a-binary-tree
672,Bulb Switcher II,50.9%,Medium,0.0,https://leetcode.com/problems/bulb-switcher-ii
673,Number of Longest Increasing Subsequence,35.8%,Medium,10.4795,https://leetcode.com/problems/number-of-longest-increasing-subsequence
674,Longest Continuous Increasing Subsequence,45.9%,Easy,17.2228,https://leetcode.com/problems/longest-continuous-increasing-subsequence
675,Cut Off Trees for Golf Event,34.6%,Hard,2.00029,https://leetcode.com/problems/cut-off-trees-for-golf-event
676,Implement Magic Dictionary,54.7%,Medium,6.46954,https://leetcode.com/problems/implement-magic-dictionary
677,Map Sum Pairs,53.6%,Medium,2.21221,https://leetcode.com/problems/map-sum-pairs
678,Valid Parenthesis String,31.1%,Medium,39.6602,https://leetcode.com/problems/valid-parenthesis-string
679,24 Game,46.5%,Hard,39.3169,https://leetcode.com/problems/24-game
680,Valid Palindrome II,36.7%,Easy,63.8555,https://leetcode.com/problems/valid-palindrome-ii
681,Next Closest Time,45.1%,Medium,21.4669,https://leetcode.com/problems/next-closest-time
682,Baseball Game,64.3%,Easy,14.5223,https://leetcode.com/problems/baseball-game
683,K Empty Slots,35.7%,Hard,1.94996,https://leetcode.com/problems/k-empty-slots
684,Redundant Connection,57.7%,Medium,7.93877,https://leetcode.com/problems/redundant-connection
685,Redundant Connection II,32.5%,Hard,18.6159,https://leetcode.com/problems/redundant-connection-ii
686,Repeated String Match,32.4%,Medium,27.3422,https://leetcode.com/problems/repeated-string-match
687,Longest Univalue Path,36.3%,Easy,20.8814,https://leetcode.com/problems/longest-univalue-path
688,Knight Probability in Chessboard,49.2%,Medium,31.051,https://leetcode.com/problems/knight-probability-in-chessboard
689,Maximum Sum of 3 Non-Overlapping Subarrays,46.5%,Hard,29.8526,https://leetcode.com/problems/maximum-sum-of-3-non-overlapping-subarrays
690,Employee Importance,57.4%,Easy,6.08363,https://leetcode.com/problems/employee-importance
691,Stickers to Spell Word,43.1%,Hard,4.09071,https://leetcode.com/problems/stickers-to-spell-word
692,Top K Frequent Words,52.1%,Medium,81.18,https://leetcode.com/problems/top-k-frequent-words
693,Binary Number with Alternating Bits,59.5%,Easy,0.0,https://leetcode.com/problems/binary-number-with-alternating-bits
694,Number of Distinct Islands,56.3%,Medium,33.6786,https://leetcode.com/problems/number-of-distinct-islands
695,Max Area of Island,63.0%,Medium,51.2185,https://leetcode.com/problems/max-area-of-island
696,Count Binary Substrings,56.1%,Easy,4.59889,https://leetcode.com/problems/count-binary-substrings
697,Degree of an Array,53.9%,Easy,23.3355,https://leetcode.com/problems/degree-of-an-array
698,Partition to K Equal Sum Subsets,45.0%,Medium,44.1045,https://leetcode.com/problems/partition-to-k-equal-sum-subsets
699,Falling Squares,41.9%,Hard,14.4855,https://leetcode.com/problems/falling-squares
700,Search in a Binary Search Tree,73.2%,Easy,6.71748,https://leetcode.com/problems/search-in-a-binary-search-tree
701,Insert into a Binary Search Tree,77.3%,Medium,5.12573,https://leetcode.com/problems/insert-into-a-binary-search-tree
702,Search in a Sorted Array of Unknown Size,67.3%,Medium,17.0009,https://leetcode.com/problems/search-in-a-sorted-array-of-unknown-size
703,Kth Largest Element in a Stream,49.9%,Easy,37.4772,https://leetcode.com/problems/kth-largest-element-in-a-stream
704,Binary Search,52.3%,Easy,15.458,https://leetcode.com/problems/binary-search
705,Design HashSet,64.1%,Easy,1.33019,https://leetcode.com/problems/design-hashset
706,Design HashMap,61.6%,Easy,63.0451,https://leetcode.com/problems/design-hashmap
707,Design Linked List,24.8%,Medium,11.8798,https://leetcode.com/problems/design-linked-list
708,Insert into a Sorted Circular Linked List,31.7%,Medium,20.5278,https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list
709,To Lower Case,79.4%,Easy,3.54304,https://leetcode.com/problems/to-lower-case
710,Random Pick with Blacklist,32.5%,Hard,8.69699,https://leetcode.com/problems/random-pick-with-blacklist
711,Number of Distinct Islands II,47.6%,Hard,0.0,https://leetcode.com/problems/number-of-distinct-islands-ii
712,Minimum ASCII Delete Sum for Two Strings,58.6%,Medium,3.7714,https://leetcode.com/problems/minimum-ascii-delete-sum-for-two-strings
713,Subarray Product Less Than K,39.2%,Medium,24.0437,https://leetcode.com/problems/subarray-product-less-than-k
714,Best Time to Buy and Sell Stock with Transaction Fee,55.0%,Medium,6.75569,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee
715,Range Module,38.8%,Hard,26.1805,https://leetcode.com/problems/range-module
716,Max Stack,42.7%,Easy,34.9446,https://leetcode.com/problems/max-stack
717,1-bit and 2-bit Characters,48.5%,Easy,14.5265,https://leetcode.com/problems/1-bit-and-2-bit-characters
718,Maximum Length of Repeated Subarray,49.5%,Medium,30.7817,https://leetcode.com/problems/maximum-length-of-repeated-subarray
719,Find K-th Smallest Pair Distance,31.7%,Hard,8.49486,https://leetcode.com/problems/find-k-th-smallest-pair-distance
720,Longest Word in Dictionary,48.4%,Easy,14.5724,https://leetcode.com/problems/longest-word-in-dictionary
721,Accounts Merge,49.2%,Medium,50.1775,https://leetcode.com/problems/accounts-merge
722,Remove Comments,34.7%,Medium,47.84,https://leetcode.com/problems/remove-comments
723,Candy Crush,69.9%,Medium,36.1829,https://leetcode.com/problems/candy-crush
724,Find Pivot Index,44.2%,Easy,38.0814,https://leetcode.com/problems/find-pivot-index
725,Split Linked List in Parts,52.4%,Medium,3.83649,https://leetcode.com/problems/split-linked-list-in-parts
726,Number of Atoms,49.4%,Hard,40.7108,https://leetcode.com/problems/number-of-atoms
727,Minimum Window Subsequence,41.9%,Hard,39.6009,https://leetcode.com/problems/minimum-window-subsequence
728,Self Dividing Numbers,74.6%,Easy,3.96736,https://leetcode.com/problems/self-dividing-numbers
729,My Calendar I,52.0%,Medium,33.7861,https://leetcode.com/problems/my-calendar-i
730,Count Different Palindromic Subsequences,42.0%,Hard,37.9363,https://leetcode.com/problems/count-different-palindromic-subsequences
731,My Calendar II,49.4%,Medium,7.55218,https://leetcode.com/problems/my-calendar-ii
732,My Calendar III,60.3%,Hard,15.4809,https://leetcode.com/problems/my-calendar-iii
733,Flood Fill,55.4%,Easy,35.6611,https://leetcode.com/problems/flood-fill
734,Sentence Similarity,42.1%,Easy,1.94542,https://leetcode.com/problems/sentence-similarity
735,Asteroid Collision,41.1%,Medium,45.8265,https://leetcode.com/problems/asteroid-collision
736,Parse Lisp Expression,47.6%,Hard,32.2709,https://leetcode.com/problems/parse-lisp-expression
737,Sentence Similarity II,45.9%,Medium,20.6329,https://leetcode.com/problems/sentence-similarity-ii
738,Monotone Increasing Digits,44.7%,Medium,21.8882,https://leetcode.com/problems/monotone-increasing-digits
739,Daily Temperatures,63.7%,Medium,49.8042,https://leetcode.com/problems/daily-temperatures
740,Delete and Earn,48.7%,Medium,12.3186,https://leetcode.com/problems/delete-and-earn
741,Cherry Pickup,34.0%,Hard,37.5538,https://leetcode.com/problems/cherry-pickup
742,Closest Leaf in a Binary Tree,43.7%,Medium,12.5582,https://leetcode.com/problems/closest-leaf-in-a-binary-tree
743,Network Delay Time,45.0%,Medium,18.6224,https://leetcode.com/problems/network-delay-time
744,Find Smallest Letter Greater Than Target,45.5%,Easy,1.12182,https://leetcode.com/problems/find-smallest-letter-greater-than-target
745,Prefix and Suffix Search,34.3%,Hard,2.85744,https://leetcode.com/problems/prefix-and-suffix-search
746,Min Cost Climbing Stairs,50.5%,Easy,20.7866,https://leetcode.com/problems/min-cost-climbing-stairs
747,Largest Number At Least Twice of Others,42.2%,Easy,0.0,https://leetcode.com/problems/largest-number-at-least-twice-of-others
748,Shortest Completing Word,56.9%,Easy,0.0,https://leetcode.com/problems/shortest-completing-word
749,Contain Virus,45.5%,Hard,41.8562,https://leetcode.com/problems/contain-virus
750,Number Of Corner Rectangles,66.4%,Medium,0.0,https://leetcode.com/problems/number-of-corner-rectangles
751,IP to CIDR,61.5%,Medium,14.2291,https://leetcode.com/problems/ip-to-cidr
752,Open the Lock,51.9%,Medium,27.8775,https://leetcode.com/problems/open-the-lock
753,Cracking the Safe,50.8%,Hard,27.0775,https://leetcode.com/problems/cracking-the-safe
754,Reach a Number,34.8%,Medium,23.0733,https://leetcode.com/problems/reach-a-number
755,Pour Water,43.5%,Medium,0.0,https://leetcode.com/problems/pour-water
756,Pyramid Transition Matrix,54.8%,Medium,7.57524,https://leetcode.com/problems/pyramid-transition-matrix
757,Set Intersection Size At Least Two,40.2%,Hard,16.7181,https://leetcode.com/problems/set-intersection-size-at-least-two
758,Bold Words in String,46.2%,Easy,0.0,https://leetcode.com/problems/bold-words-in-string
759,Employee Free Time,66.5%,Hard,62.1604,https://leetcode.com/problems/employee-free-time
760,Find Anagram Mappings,81.2%,Easy,0.0,https://leetcode.com/problems/find-anagram-mappings
761,Special Binary String,55.0%,Hard,15.316,https://leetcode.com/problems/special-binary-string
762,Prime Number of Set Bits in Binary Representation,63.4%,Easy,3.07378,https://leetcode.com/problems/prime-number-of-set-bits-in-binary-representation
763,Partition Labels,77.2%,Medium,64.41,https://leetcode.com/problems/partition-labels
764,Largest Plus Sign,46.0%,Medium,10.6977,https://leetcode.com/problems/largest-plus-sign
765,Couples Holding Hands,54.5%,Hard,20.3678,https://leetcode.com/problems/couples-holding-hands
766,Toeplitz Matrix,65.2%,Easy,24.0129,https://leetcode.com/problems/toeplitz-matrix
767,Reorganize String,48.9%,Medium,58.6125,https://leetcode.com/problems/reorganize-string
768,Max Chunks To Make Sorted II,49.0%,Hard,4.90772,https://leetcode.com/problems/max-chunks-to-make-sorted-ii
769,Max Chunks To Make Sorted,54.8%,Medium,28.5775,https://leetcode.com/problems/max-chunks-to-make-sorted
770,Basic Calculator IV,53.0%,Hard,9.07551,https://leetcode.com/problems/basic-calculator-iv
771,Jewels and Stones,86.5%,Easy,21.9604,https://leetcode.com/problems/jewels-and-stones
772,Basic Calculator III,41.5%,Hard,50.1342,https://leetcode.com/problems/basic-calculator-iii
773,Sliding Puzzle,59.5%,Hard,53.5426,https://leetcode.com/problems/sliding-puzzle
774,Minimize Max Distance to Gas Station,47.2%,Hard,0.0,https://leetcode.com/problems/minimize-max-distance-to-gas-station
775,Global and Local Inversions,42.2%,Medium,9.84841,https://leetcode.com/problems/global-and-local-inversions
776,Split BST,56.0%,Medium,6.25363,https://leetcode.com/problems/split-bst
777,Swap Adjacent in LR String,34.8%,Medium,30.2682,https://leetcode.com/problems/swap-adjacent-in-lr-string
778,Swim in Rising Water,53.3%,Hard,3.75677,https://leetcode.com/problems/swim-in-rising-water
779,K-th Symbol in Grammar,37.4%,Medium,17.1418,https://leetcode.com/problems/k-th-symbol-in-grammar
780,Reaching Points,29.6%,Hard,59.1111,https://leetcode.com/problems/reaching-points
781,Rabbits in Forest,54.7%,Medium,2.3309,https://leetcode.com/problems/rabbits-in-forest
782,Transform to Chessboard,46.7%,Hard,0.0,https://leetcode.com/problems/transform-to-chessboard
783,Minimum Distance Between BST Nodes,52.7%,Easy,0.480992,https://leetcode.com/problems/minimum-distance-between-bst-nodes
784,Letter Case Permutation,65.0%,Medium,23.9218,https://leetcode.com/problems/letter-case-permutation
785,Is Graph Bipartite?,47.6%,Medium,39.5899,https://leetcode.com/problems/is-graph-bipartite
786,K-th Smallest Prime Fraction,41.0%,Hard,5.6657,https://leetcode.com/problems/k-th-smallest-prime-fraction
787,Cheapest Flights Within K Stops,39.3%,Medium,30.9411,https://leetcode.com/problems/cheapest-flights-within-k-stops
788,Rotated Digits,57.0%,Easy,6.12541,https://leetcode.com/problems/rotated-digits
789,Escape The Ghosts,57.6%,Medium,0.0,https://leetcode.com/problems/escape-the-ghosts
790,Domino and Tromino Tiling,39.3%,Medium,2.31796,https://leetcode.com/problems/domino-and-tromino-tiling
791,Custom Sort String,65.6%,Medium,15.5163,https://leetcode.com/problems/custom-sort-string
792,Number of Matching Subsequences,47.5%,Medium,26.2637,https://leetcode.com/problems/number-of-matching-subsequences
793,Preimage Size of Factorial Zeroes Function,40.4%,Hard,0.0,https://leetcode.com/problems/preimage-size-of-factorial-zeroes-function
794,Valid Tic-Tac-Toe State,32.8%,Medium,27.8686,https://leetcode.com/problems/valid-tic-tac-toe-state
795,Number of Subarrays with Bounded Maximum,46.5%,Medium,28.2293,https://leetcode.com/problems/number-of-subarrays-with-bounded-maximum
796,Rotate String,49.5%,Easy,24.2776,https://leetcode.com/problems/rotate-string
797,All Paths From Source to Target,78.0%,Medium,25.0411,https://leetcode.com/problems/all-paths-from-source-to-target
798,Smallest Rotation with Highest Score,44.2%,Hard,0.0,https://leetcode.com/problems/smallest-rotation-with-highest-score
799,Champagne Tower,35.8%,Medium,7.89694,https://leetcode.com/problems/champagne-tower
800,Similar RGB Color,61.6%,Easy,0.0,https://leetcode.com/problems/similar-rgb-color
801,Minimum Swaps To Make Sequences Increasing,38.9%,Medium,17.0345,https://leetcode.com/problems/minimum-swaps-to-make-sequences-increasing
802,Find Eventual Safe States,49.1%,Medium,10.7898,https://leetcode.com/problems/find-eventual-safe-states
803,Bricks Falling When Hit,31.0%,Hard,9.66799,https://leetcode.com/problems/bricks-falling-when-hit
804,Unique Morse Code Words,77.1%,Easy,3.65788,https://leetcode.com/problems/unique-morse-code-words
805,Split Array With Same Average,26.4%,Hard,25.8925,https://leetcode.com/problems/split-array-with-same-average
806,Number of Lines To Write String,65.0%,Easy,2.33743,https://leetcode.com/problems/number-of-lines-to-write-string
807,Max Increase to Keep City Skyline,83.8%,Medium,12.4653,https://leetcode.com/problems/max-increase-to-keep-city-skyline
808,Soup Servings,40.1%,Medium,0.0,https://leetcode.com/problems/soup-servings
809,Expressive Words,46.9%,Medium,36.4771,https://leetcode.com/problems/expressive-words
810,Chalkboard XOR Game,48.5%,Hard,0.0,https://leetcode.com/problems/chalkboard-xor-game
811,Subdomain Visit Count,70.1%,Easy,53.1457,https://leetcode.com/problems/subdomain-visit-count
812,Largest Triangle Area,58.4%,Easy,0.0,https://leetcode.com/problems/largest-triangle-area
813,Largest Sum of Averages,50.2%,Medium,19.9748,https://leetcode.com/problems/largest-sum-of-averages
814,Binary Tree Pruning,74.0%,Medium,6.52539,https://leetcode.com/problems/binary-tree-pruning
815,Bus Routes,42.7%,Hard,46.4677,https://leetcode.com/problems/bus-routes
816,Ambiguous Coordinates,47.2%,Medium,0.0,https://leetcode.com/problems/ambiguous-coordinates
817,Linked List Components,57.3%,Medium,13.3321,https://leetcode.com/problems/linked-list-components
818,Race Car,39.1%,Hard,27.291,https://leetcode.com/problems/race-car
819,Most Common Word,44.9%,Easy,60.1718,https://leetcode.com/problems/most-common-word
820,Short Encoding of Words,50.8%,Medium,19.1991,https://leetcode.com/problems/short-encoding-of-words
821,Shortest Distance to a Character,67.1%,Easy,20.4674,https://leetcode.com/problems/shortest-distance-to-a-character
822,Card Flipping Game,43.1%,Medium,0.0,https://leetcode.com/problems/card-flipping-game
823,Binary Trees With Factors,35.9%,Medium,9.71885,https://leetcode.com/problems/binary-trees-with-factors
824,Goat Latin,65.9%,Easy,5.07477,https://leetcode.com/problems/goat-latin
825,Friends Of Appropriate Ages,42.8%,Medium,20.9961,https://leetcode.com/problems/friends-of-appropriate-ages
826,Most Profit Assigning Work,38.6%,Medium,0.0,https://leetcode.com/problems/most-profit-assigning-work
827,Making A Large Island,46.0%,Hard,21.3625,https://leetcode.com/problems/making-a-large-island
828,Count Unique Characters of All Substrings of a Given String,45.7%,Hard,41.1019,https://leetcode.com/problems/count-unique-characters-of-all-substrings-of-a-given-string
829,Consecutive Numbers Sum,38.1%,Hard,80.2714,https://leetcode.com/problems/consecutive-numbers-sum
830,Positions of Large Groups,49.7%,Easy,10.4636,https://leetcode.com/problems/positions-of-large-groups
831,Masking Personal Information,44.2%,Medium,0.0,https://leetcode.com/problems/masking-personal-information
832,Flipping an Image,76.4%,Easy,5.54618,https://leetcode.com/problems/flipping-an-image
833,Find And Replace in String,50.6%,Medium,14.9125,https://leetcode.com/problems/find-and-replace-in-string
834,Sum of Distances in Tree,44.0%,Hard,34.3001,https://leetcode.com/problems/sum-of-distances-in-tree
835,Image Overlap,60.1%,Medium,3.67579,https://leetcode.com/problems/image-overlap
836,Rectangle Overlap,48.4%,Easy,40.3318,https://leetcode.com/problems/rectangle-overlap
837,New 21 Game,34.7%,Medium,29.7456,https://leetcode.com/problems/new-21-game
838,Push Dominoes,48.7%,Medium,17.707,https://leetcode.com/problems/push-dominoes
839,Similar String Groups,38.7%,Hard,22.2902,https://leetcode.com/problems/similar-string-groups
840,Magic Squares In Grid,37.3%,Easy,21.0223,https://leetcode.com/problems/magic-squares-in-grid
841,Keys and Rooms,64.6%,Medium,9.18239,https://leetcode.com/problems/keys-and-rooms
842,Split Array into Fibonacci Sequence,36.3%,Medium,4.47397,https://leetcode.com/problems/split-array-into-fibonacci-sequence
843,Guess the Word,46.1%,Hard,53.6028,https://leetcode.com/problems/guess-the-word
844,Backspace String Compare,46.6%,Easy,37.8435,https://leetcode.com/problems/backspace-string-compare
845,Longest Mountain in Array,37.4%,Medium,20.4674,https://leetcode.com/problems/longest-mountain-in-array
846,Hand of Straights,54.3%,Medium,30.7455,https://leetcode.com/problems/hand-of-straights
847,Shortest Path Visiting All Nodes,52.2%,Hard,10.4371,https://leetcode.com/problems/shortest-path-visiting-all-nodes
848,Shifting Letters,44.7%,Medium,7.44268,https://leetcode.com/problems/shifting-letters
849,Maximize Distance to Closest Person,42.6%,Easy,20.4373,https://leetcode.com/problems/maximize-distance-to-closest-person
850,Rectangle Area II,47.7%,Hard,21.7278,https://leetcode.com/problems/rectangle-area-ii
851,Loud and Rich,51.8%,Medium,0.0,https://leetcode.com/problems/loud-and-rich
852,Peak Index in a Mountain Array,71.7%,Easy,15.6891,https://leetcode.com/problems/peak-index-in-a-mountain-array
853,Car Fleet,42.4%,Medium,26.0321,https://leetcode.com/problems/car-fleet
854,K-Similar Strings,38.3%,Hard,10.36,https://leetcode.com/problems/k-similar-strings
